"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2023","Reid Detmers","SP","Los Angeles Angels",148.666666666667,141,74,60,168,0,0,0,414
"2024","Gavin Stone","SP","Los Angeles Dodgers",140.333333333333,133,55,37,116,0,0,0,412.5
"2023","Lance Lynn","SP","Los Angeles Dodgers",183.666666666667,189,117,67,191,0,0,0,410.5
"2023","Kutter Crawford","SP","Boston Red Sox",129.333333333333,107,58,36,135,0,0,2,410
"2024","Ryan Feltner","SP","Colorado Rockies",162.333333333333,165,81,52,138,0,0,0,408.5
"2024","Ryne Nelson","SP","Arizona Diamondbacks",150.666666666667,155,71,34,126,1,0,0,408
"2023","Michael Lorenzen","SP","Philadelphia Phillies",153,138,71,47,111,1,0,0,407.5
"2023","Brayan Bello","SP","Boston Red Sox",157,165,74,45,132,0,0,0,406.5
"2023","Clarke Schmidt","SP","New York Yankees",159,169,82,46,149,0,0,0,403.5
"2025","Kris Bubic","SP","Kansas City Royals",116.333333333333,98,33,39,116,0,0,0,403.5
"2023","Hunter Brown","SP","Houston Astros",155.666666666667,157,88,55,178,0,0,0,402.5
"2023","Tyler Wells","SP","Baltimore Orioles",118.666666666667,83,48,34,117,1,0,1,401
"2024","Spencer Arrighetti","SP","Houston Astros",145,139,73,65,171,0,0,0,400.5
"2024","Mitchell Parker","SP","Washington Nationals",151,154,72,43,133,0,0,0,399.5
"2025","Luis Severino","SP","Athletics",162.666666666667,162,82,50,124,0,0,0,398
"2025","Brandon Pfaadt","SP","Arizona Diamondbacks",176.666666666667,198,103,37,147,0,0,0,398
"2024","Javier Assad","SP","Chicago Cubs",147,143,61,63,124,0,0,0,396.5
"2024","Blake Snell","SP","San Francisco Giants",104,65,36,44,145,0,0,0,396
"2025","Cade Horton","SP","Chicago Cubs",118,95,35,33,97,0,0,0,395
"2023","Jameson Taillon","SP","Chicago Cubs",154.333333333333,156,83,41,140,1,0,0,394.5
"2025","Sandy Alcantara","SP","Miami Marlins",174.666666666667,165,104,57,142,0,0,0,394
"2025","Matthew Liberatore","SP","St. Louis Cardinals",151.666666666667,158,71,40,122,0,0,0,393.5
"2025","Seth Lugo","SP","Kansas City Royals",145.333333333333,133,67,55,125,0,0,0,390
"2025","Patrick Corbin","SP","Texas Rangers",155.333333333333,161,76,51,131,0,0,0,390
"2025","Logan Allen","SP","Cleveland Guardians",156.666666666667,157,74,62,122,0,0,0,386
"2023","Bobby Miller","SP","Los Angeles Dodgers",124.333333333333,105,52,32,119,0,0,0,385.5
"2025","Jameson Taillon","SP","Chicago Cubs",129.666666666667,110,53,27,98,0,0,0,385.5
"2024","Andrew Abbott","SP","Cincinnati Reds",138,127,57,52,114,0,0,0,385
"2025","Spencer Schwellenbach","SP","Atlanta Braves",110.666666666667,89,38,18,108,0,0,0,385
"2025","Kyle Hendricks","SP","Los Angeles Angels",164.666666666667,167,87,43,114,0,0,0,384
"2023","Aaron Civale","SP","Tampa Bay Rays",122.333333333333,109,47,33,116,0,0,0,383.5
"2024","Austin Gomber","SP","Colorado Rockies",165,178,87,38,116,0,0,0,381.5
"2023","Marcus Stroman","SP","Chicago Cubs",136.666666666667,120,60,52,119,0,1,0,379
"2024","Michael Lorenzen","SP","Kansas City Royals",130.333333333333,101,48,60,97,0,0,0,378.5
"2024","Frankie Montas","SP","Milwaukee Brewers",150.666666666667,140,81,66,148,0,0,0,377
"2025","George Kirby","SP","Seattle Mariners",126,121,59,29,137,0,0,0,377
"2023","Shane McClanahan","SP","Tampa Bay Rays",115,95,42,41,121,0,0,0,376.5
"2025","Chad Patrick","SP","Milwaukee Brewers",119.666666666667,113,47,40,127,0,0,1,376.5
"2023","Mike Clevinger","SP","Chicago White Sox",131.333333333333,121,55,40,110,0,0,0,375
"2023","Kyle Hendricks","SP","Chicago Cubs",137,138,57,27,93,0,0,0,373.5
"2024","Albert Suarez","SP","Baltimore Orioles",133.666666666667,130,55,43,108,0,1,1,373.5
"2023","MacKenzie Gore","SP","Washington Nationals",136.333333333333,134,67,57,151,0,0,0,372.5
"2024","David Peterson","SP","New York Mets",121,110,39,46,101,0,0,0,372.5
"2024","Mitch Spence","SP","Athletics",151.333333333333,165,77,44,126,0,0,1,372
"2023","Bryce Miller","SP","Seattle Mariners",131.333333333333,124,63,26,119,0,0,0,371
"2023","Griffin Canning","SP","Los Angeles Angels",127,121,61,36,139,0,0,0,370.5
"2023","Yu Darvish","SP","San Diego Padres",136.333333333333,134,69,43,141,0,0,0,370.5
"2024","Miles Mikolas","SP","St. Louis Cardinals",171.666666666667,194,102,25,122,0,0,0,369.5
"2024","Dean Kremer","SP","Baltimore Orioles",129.666666666667,110,59,51,123,0,0,0,368.5
"2024","Matt Waldron","SP","San Diego Padres",146.666666666667,145,80,40,133,0,0,0,368
"2025","Davis Martin","SP","Chicago White Sox",142.666666666667,136,65,48,104,0,0,0,367
"2024","Jared Jones","SP","Pittsburgh Pirates",121.666666666667,106,56,39,132,0,0,0,366.5
