Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Kutter Crawford,BOS,77.1,70,37,22,76,0,0,3
Alex Vesia,LAD,60.2,47,24,25,75,2,3,22
Aaron Bummer,ATL,60.2,56,25,22,62,0,1,9
Tanner Scott,LAD,63.1,53,25,26,71,5,6,19
Tomoyuki Sugano,COL,115,133,67,28,73,0,0,0
Fernando Cruz,NYY,58,45,23,26,78,2,2,18
Stephen Kolek,KCR,67.2,70,32,21,49,0,0,1
Louis Varland,TOR,65,60,27,19,65,4,1,15
Daniel Palencia,CHC,64.1,54,27,26,71,29,4,3
Colin Rea,CHC,82,82,40,23,66,0,0,1
Spencer Arrighetti,HOU,92,84,47,40,91,0,0,1
Bryan King,HOU,63.1,57,25,18,63,1,2,20
Raisel Iglesias,ATL,63.1,56,26,17,67,26,4,4
Troy Melton,DET,59.1,55,26,19,53,0,0,3
Trevor McDonald,SFG,63,62,29,22,50,0,0,1
Alex Cobb,,42,40,19,13,33,0,0,1
Lucas Erceg,KCR,61.1,55,25,22,59,6,4,18
Jonah Tong,NYM,31.2,26,13,13,35,0,0,1
Jared Koenig,MIL,62.2,56,25,21,63,2,2,18
Dylan Lee,ATL,64,56,26,18,70,2,3,17
Caleb Thielbar,CHC,60.1,52,25,19,62,2,2,19
Payton Tolle,BOS,49.2,45,23,17,50,0,0,1
Camilo Doval,NYY,62,52,25,30,69,5,5,16
Corbin Burnes,ARI,35,31,14,11,34,0,0,0
Jordan Montgomery,TEX,52,53,26,17,41,0,0,0
Andrew Alvarez,WSN,51.1,50,24,20,39,0,0,1
Edwin Uceta,TBR,62,51,25,23,74,9,2,15
Robert Garcia,TEX,60.2,53,25,22,65,18,5,9
Matt Svanson,STL,64,59,26,23,60,6,1,12
Cole Sands,MIN,66,61,29,20,64,5,2,13
Gregory Soto,PIT,59.2,54,25,24,64,4,2,17
Jon Gray,,45,45,23,15,39,0,1,0
Sam Hentges,SFG,44,40,17,15,44,0,1,4
Tyler Holton,DET,68.2,62,27,17,57,1,2,15
Emilio Pagán,CIN,65,56,29,22,71,26,5,4
Kevin Ginkel,ARI,60.1,55,26,21,62,16,4,11
Tyler Rogers,TOR,67.1,68,28,13,46,3,3,23
Andrew Nardi,MIA,51.2,44,22,20,62,1,3,9
Connor Prielipp,MIN,58,57,27,23,54,0,0,2
Jason Adam,SDP,52,43,20,18,56,1,3,21
A.J. Minter,NYM,48,40,18,17,53,1,3,17
Jimmy Herget,COL,71,71,35,23,65,2,2,9
Tyler Wells,BAL,69,64,33,17,63,0,0,5
Sean Newcomb,CHW,73.1,68,33,31,70,1,0,6
Bryan Baker,TBR,61.1,52,26,22,67,2,3,13
JoJo Romero,STL,61.2,56,24,24,58,12,3,19
Shawn Armstrong,CLE,66.2,60,28,20,66,3,2,16
Phil Maton,CHC,63.1,53,26,23,68,6,3,19
Steven Okert,HOU,62,52,27,22,69,1,3,12
Tommy Nance,TOR,54.1,51,23,17,51,0,1,8
Drew Pomeranz,LAA,54.1,48,23,18,59,3,2,12
Bennett Sousa,HOU,50.2,43,20,17,55,1,1,9
Graham Ashcraft,CIN,62.1,62,28,21,54,2,3,16
Tanner Banks,PHI,59,56,26,16,55,0,2,11
Braydon Fisher,TOR,50.2,42,21,21,57,1,1,6
Brooks Raley,NYM,55.2,49,23,18,54,2,2,16
Brusdar Graterol,LAD,41.1,38,16,12,35,0,1,4
Hurston Waldrep,ATL,52.2,50,26,24,46,0,0,0
Brant Hurter,DET,51,47,21,16,46,0,1,6
Jack Dreyer,LAD,49.2,44,21,17,48,1,2,11
Dennis Santana,PIT,65,60,28,22,60,24,3,5
