Player Name,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB)
Thomas Saggese,STL,56,25,84,24,14,0,66,3
Keibert Ruiz,WSN,71,27,103,35,17,0,38,1
Brady House,WSN,110,46,167,52,22,1,139,5
Spencer Steer,CIN,85,48,145,44,39,0,89,8
J.C. Escarra,NYY,28,14,43,13,12,0,27,1
Jake Fraley,TBR,76,41,116,34,31,1,76,13
TJ Friedl,CIN,114,64,173,48,57,0,95,11
Michael Massey,KCR,63,29,101,35,15,0,53,2
Josh Lowe,LAA,97,56,159,43,37,2,127,21
Jimmy Crooks,STL,22,10,31,10,7,0,25,0
Christian Vázquez,HOU,31,15,47,15,9,0,30,2
Dane Myers,CIN,52,27,82,23,15,0,58,7
Ben Williamson,TBR,55,24,73,20,14,0,50,4
Nick Castellanos,SDP,78,38,128,39,20,0,77,3
Tommy Pham,,55,30,89,27,23,0,58,4
César Salazar,HOU,27,13,37,12,11,0,30,1
Javier Báez,DET,72,34,114,36,13,0,82,5
Tyler Austin,CHC,34,20,62,22,16,0,46,0
Leo Rivas,SEA,28,16,38,10,17,0,37,6
Tom Murphy,,14,8,27,9,6,0,21,0
Derek Hill,CHW,30,16,49,12,7,0,40,4
Colby Thomas,ATH,56,31,98,30,14,0,82,5
Alex Call,LAD,35,21,54,16,17,0,32,3
Ezequiel Duran,TEX,61,31,93,25,14,0,70,8
Andy Ibáñez,ATH,42,20,66,19,12,0,37,3
Ryan Waldschmidt,ARI,39,21,62,18,15,1,38,4
Max Kepler,,28,15,49,17,12,1,28,0
Walker Jenkins,MIN,24,12,37,11,9,0,23,2
Zack Gelof,ATH,32,20,54,16,12,0,54,6
Nathan Lukes,TOR,72,34,100,29,23,1,50,3
José Fermín,STL,38,19,50,15,15,1,23,5
Andrew McCutchen,TEX,51,29,86,30,28,0,59,1
Jake Mangum,PIT,78,35,99,24,13,0,53,12
Max Muncy,ATH,70,37,116,34,20,1,100,4
Joshua Báez,STL,26,15,44,14,10,0,36,5
Blake Perkins,MIL,42,23,67,18,20,0,60,7
Nolan Gorman,STL,91,52,168,60,47,2,163,4
JJ Bleday,CIN,67,38,125,42,34,1,76,2
Enrique Hernández,LAD,42,23,72,25,14,0,45,1
Sung-Mun Song,SDP,54,27,84,26,18,1,54,5
Jeremiah Jackson,BAL,52,26,81,25,12,0,57,4
Austin Wynns,ATH,31,15,47,15,9,0,43,1
Rafael Marchán,PHI,32,15,45,15,11,0,27,1
Drew Millas,WSN,28,12,36,11,9,1,22,3
Paul Goldschmidt,NYY,80,41,132,42,26,1,83,4
Randal Grichuk,NYY,35,18,63,20,10,0,33,0
Dominic Canzone,SEA,87,43,148,51,29,2,95,3
Ryan Mountcastle,BAL,44,22,73,22,12,0,45,1
Nathan Church,STL,41,18,55,16,10,1,27,4
Jose Iglesias,,38,16,52,14,8,0,27,2
Juan Brito,CLE,23,12,33,11,10,0,22,2
Justyn-Henry Malloy,TBR,41,22,63,22,22,0,53,1
Andrew Knizner,SEA,20,9,31,9,7,0,23,0
Matt Shaw,CHC,64,35,102,28,23,0,61,10
Miguel Rojas,LAD,37,19,53,16,10,0,24,2
Eli White,ATL,30,17,49,13,8,0,37,5
Sam Haggerty,TEX,48,27,67,16,18,0,49,12
Otto Kemp,PHI,50,27,84,27,16,1,65,4
José Tena,WSN,51,24,76,21,15,0,59,6
Jesse Winker,,50,29,82,26,30,1,55,4
Thairo Estrada,BAL,31,15,47,12,6,0,26,3
Pavin Smith,ARI,81,45,133,46,44,1,101,2
Luis Matos,SFG,41,21,69,20,9,0,25,3
Jesus Rodriguez,SFG,12,6,17,5,3,0,8,1
Alek Thomas,ARI,91,46,140,42,24,1,96,8
Moisés Ballesteros,CHC,79,37,120,39,27,2,64,1
Triston Casas,BOS,37,20,65,24,21,2,46,0
Everson Pereira,CHW,44,24,75,23,16,0,70,4
Oswald Peraza,LAA,42,24,71,20,15,0,57,8
David Hamilton,MIL,35,23,56,15,14,0,51,15
Hyeseong Kim,LAD,38,20,53,14,10,0,38,6
Riley Adams,WSN,17,8,29,10,6,0,31,0
Nick Yorke,PIT,36,17,55,15,10,1,36,4
Ty France,SDP,37,17,55,17,9,0,30,0
Masataka Yoshida,BOS,51,23,76,24,15,1,26,2
Mark Vientos,NYM,93,48,163,56,30,1,116,1
Dom Keegan,TBR,14,6,23,7,5,0,18,0
Mike Tauchman,NYM,33,18,51,17,19,0,38,1
Anthony Santander,TOR,25,15,48,17,11,0,27,0
Owen Caissie,MIA,84,42,133,43,35,1,131,5
Alex Freeland,LAD,18,11,26,9,8,0,25,2
Andruw Monasterio,BOS,23,12,36,11,9,0,26,2
Curtis Mead,CHW,21,10,30,10,6,0,19,1
Jahmai Jones,DET,31,18,53,16,13,0,34,3
Leody Taveras,BAL,20,12,34,9,6,0,20,4
CJ Kayfus,CLE,60,32,96,29,23,0,81,3
Tyrone Taylor,NYM,59,32,92,26,14,0,65,8
Ryan Bliss,SEA,19,12,32,8,7,0,27,6
Ryan Ritter,COL,46,23,65,19,14,0,57,4
Zach Cole,HOU,65,41,117,35,28,2,141,8
Elias Díaz,KCR,16,8,25,9,5,0,20,0
Jurickson Profar,ATL,10,6,19,5,5,0,8,1
Leo De Vries,ATH,7,4,12,4,2,0,7,1
Santiago Espinal,LAD,27,13,38,11,7,0,15,1
Kyle Farmer,ATL,19,9,27,9,5,0,19,1
Alan Roden,MIN,40,19,56,15,14,1,31,3
Nacho Alvarez Jr.,ATL,12,6,17,5,4,0,12,1
DJ LeMahieu,,23,11,33,10,10,0,24,0
Reese McGuire,MIL,14,6,21,8,4,0,17,0
Luis Rengifo,MIL,94,43,132,39,26,0,77,12
Christopher Morel,MIA,66,40,121,41,29,1,101,7
Esteury Ruiz,MIA,23,14,35,8,7,0,25,9
Max Schuemann,NYY,14,8,18,5,6,0,16,2
Jon Berti,,31,16,41,10,10,0,32,7
Mickey Gasper,BOS,8,4,13,4,3,0,7,0
Austin Slater,DET,20,11,30,9,9,0,27,1
Heriberto Hernández,MIA,66,36,112,38,31,1,101,3
Nolan Jones,CLE,29,17,47,14,15,1,42,3
Aidan Miller,PHI,11,6,15,5,4,0,14,2
Luis Urías,,22,12,35,11,10,0,21,1
Luke Maile,KCR,18,9,29,9,9,0,28,1
Trey Sweeney,DET,15,8,26,7,6,0,21,1
Johan Rojas,PHI,25,14,38,8,6,0,25,6
Angel Martínez,CLE,54,27,86,24,16,0,54,4
Rafael Flores Jr.,PIT,15,7,24,8,5,0,21,0
Maximo Acosta,MIA,18,9,28,8,5,0,20,3
Manuel Margot,,11,5,16,5,3,0,8,1
Jake Bauers,MIL,57,36,102,38,35,1,97,7
Graham Pauley,MIA,61,30,101,32,25,1,66,4
Starling Marte,KCR,57,29,84,25,15,0,50,7
Dylan Moore,PHI,25,18,45,14,12,0,41,7
Josh Rojas,KCR,13,7,18,6,6,0,13,1
