VORP Rank,Tier,Player Name,Position,Team,ML Points,VORP,ADP,Sleeper Score
212,4,Ryne Nelson,SP,Arizona Diamondbacks,451.082807025554,73.82942160761229,258.5,46.5
213,4,Tatsuya Imai,SP,Houston Astros,450.73185181467545,73.47846639673372,183.17,-29.830000000000013
214,3,Agustin Ramirez,C,Miami Marlins,506.9082257891163,73.10137590911427,102.83,-111.17
215,4,Noelvi Marte,3B,Cincinnati Reds,501.4462479154746,71.77766982642527,150.67,-64.33000000000001
216,4,Luis Robert Jr.,OF,New York Mets,523.3722786869923,71.59268725471259,133.83,-82.16999999999999
217,4,Trevor Rogers,SP,Baltimore Orioles,448.111315522404,70.8579301044623,144.0,-73.0
218,4,Sean Manaea,SP,New York Mets,447.76408876624964,70.51070334830791,295.5,77.5
219,4,Wilyer Abreu,OF,Boston Red Sox,521.2689213821614,69.48932994988161,243.5,24.5
220,3,David Bednar,RP,New York Yankees,514.2308926985239,69.48011037964932,92.67,-127.33
221,3,Yainer Diaz,C,Houston Astros,502.9476757216766,69.1408258416746,158.5,-62.5
222,4,Isaac Paredes,3B,Houston Astros,498.52192118817226,68.85334309912292,190.17,-31.830000000000013
223,4,Ezequiel Tovar,SS,Colorado Rockies,548.9557825368742,68.79718704520377,238.17,15.169999999999987
224,4,Bryce Miller,SP,Seattle Mariners,443.74016041924625,66.48677500130452,279.17,55.170000000000016
225,4,Kyle Stowers,OF,Miami Marlins,517.2654063471543,65.4858149148746,125.83,-99.17
226,4,Casey Mize,SP,Detroit Tigers,442.4366971740653,65.18331175612354,276.33,50.329999999999984
227,4,Max Muncy,3B,Los Angeles Dodgers,494.11787437360186,64.44929628455253,219.67,-7.3300000000000125
228,4,Michael Wacha,SP,Kansas City Royals,441.50862107319404,64.2552356552523,312.67,84.67000000000002
229,4,Bubba Chandler,SP,Pittsburgh Pirates,441.26451720415565,64.01113178621392,162.67,-66.33000000000001
230,3,Griffin Jax,RP,Tampa Bay Rays,508.45017179530055,63.69938947642595,225.67,-4.3300000000000125
231,4,Trevor Story,SS,Boston Red Sox,543.7345819638922,63.575986472221814,128.5,-102.5
232,4,Jordan Beck,OF,Colorado Rockies,515.1098315318312,63.330240099551474,246.25,14.25
233,4,Mike Trout,DH,Los Angeles Angels,514.0031412334371,62.61615364475034,163.17,-69.83000000000001
234,4,Adolis Garcia,OF,Philadelphia Phillies,514.0160802653528,62.236488833073054,235.67,1.6699999999999875
235,4,Jorge Polanco,DH,New York Mets,513.5454578305154,62.15847024182864,200.67,-34.33000000000001
236,4,Reid Detmers,SP,Los Angeles Angels,439.3334360485218,62.08005063058005,318.67,82.67000000000002
237,4,Daulton Varsho,OF,Toronto Blue Jays,513.6412433401658,61.861651907886085,214.5,-22.5
238,4,Cam Schlittler,SP,New York Yankees,438.9997453634812,61.746359945539496,126.0,-112.0
239,4,Jac Caglianone,1B,Kansas City Royals,456.1851582148432,61.08349075840897,212.17,-26.830000000000013
240,4,Masyn Winn,SS,St. Louis Cardinals,538.1757924498665,58.017196958196166,284.67,44.670000000000016
241,4,Clay Holmes,SP,New York Mets,434.8530610260069,57.59967560806518,295.5,54.5
242,4,Jeffrey Springs,SP,Athletics,434.569936370973,57.31655095303125,335.8,93.80000000000001
243,4,Shane McClanahan,SP,Tampa Bay Rays,434.03035866863524,56.776973250693516,226.17,-16.830000000000013
244,4,Andrew Benintendi,OF,Chicago White Sox,508.21359741540857,56.43400598312883,384.75,140.75
245,4,Brayan Bello,SP,Boston Red Sox,432.6290969496059,55.375711531664194,292.17,47.170000000000016
246,4,Joe Musgrove,SP,San Diego Padres,432.46541774449395,55.21203232655222,243.5,-2.5
247,4,Jameson Taillon,SP,Chicago Cubs,432.23747564304307,54.98409022510134,322.83,75.82999999999998
248,4,Reynaldo Lopez,SP,Atlanta Braves,432.0028918723056,54.74950645436388,334.83,86.82999999999998
249,4,Royce Lewis,3B,Minnesota Twins,483.98144184185287,54.31286375280354,223.83,-25.169999999999987
250,4,J.P. Crawford,SS,Seattle Mariners,533.8222609368127,53.66366544514227,316.0,66.0
