Player Name,Position,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB),ADP
Isaac Collins,OF,Kansas City Royals,86,51,133,38,43,1,82,13,360.0
Andrew Benintendi,OF,Chicago White Sox,109,55,189,59,43,2,84,3,384.75
Jordan Beck,OF,Colorado Rockies,125,69,208,64,41,0,153,16,246.25
Daylen Lile,OF,Washington Nationals,134,61,198,56,34,1,98,15,232.0
Miguel Amaya,C,Chicago Cubs,59,28,90,30,20,1,65,1,447.67
Brooks Lee,SS,Minnesota Twins,119,53,180,55,34,1,97,4,316.6
Nolan Schanuel,1B,Los Angeles Angels,131,65,180,50,66,3,81,6,315.5
Wenceel Perez,OF,Detroit Tigers,93,53,152,43,35,1,94,11,430.5
Luis Torrens,C,New York Mets,49,23,73,22,14,0,51,1,847.0
Luisangel Acuna,2B,Chicago White Sox,79,38,110,25,18,0,66,16,392.25
Marcell Ozuna,DH,Pittsburgh Pirates,107,60,184,66,61,1,126,0,274.5
Trevor Larnach,DH,Minnesota Twins,96,51,153,48,43,1,98,4,365.5
Ke'Bryan Hayes,3B,Cincinnati Reds,112,52,159,46,32,1,98,10,613.0
Edmundo Sosa,2B,Philadelphia Phillies,56,29,92,29,10,0,58,3,849.5
Dalton Rushing,C,Los Angeles Dodgers,40,24,73,24,18,1,57,1,464.33
Brett Baty,3B,New York Mets,94,49,156,50,35,1,113,4,299.83
Lourdes Gurriel Jr.,OF,Arizona Diamondbacks,84,40,132,43,20,0,54,5,590.67
Mauricio Dubon,2B,Atlanta Braves,90,39,124,36,18,0,49,3,549.5
Javier Sanoja,2B,Miami Marlins,56,25,80,22,12,1,21,7,719.0
Jasson Dominguez,OF,New York Yankees,50,31,87,24,22,1,60,10,292.0
Ramon Urias,2B,St. Louis Cardinals,62,30,101,31,20,0,62,2,811.5
Connor Wong,C,Boston Red Sox,46,23,73,22,14,0,55,4,851.5
Jake McCarthy,OF,Colorado Rockies,87,46,124,31,23,0,63,17,435.67
Samuel Basallo,C,Baltimore Orioles,91,47,156,51,31,2,100,3,218.33
Carson Benge,OF,New York Mets,79,40,126,37,30,2,79,7,324.8
Kody Clemens,1B,Minnesota Twins,60,34,110,37,21,0,71,3,399.0
Chandler Simpson,OF,Tampa Bay Rays,119,57,142,29,23,1,44,37,179.0
Nasim Nunez,2B,Washington Nationals,63,34,84,19,26,0,74,20,436.0
Brooks Baldwin,2B,Chicago White Sox,82,43,136,40,24,1,92,7,647.0
Victor Robles,OF,Seattle Mariners,72,43,106,26,22,0,78,18,387.0
Lane Thomas,OF,Kansas City Royals,81,50,138,42,31,0,96,17,429.67
Giancarlo Stanton,OF,New York Yankees,76,48,161,59,37,2,124,0,230.67
Edgar Quero,C,Chicago White Sox,94,43,138,41,34,1,73,1,376.0
Adolis Garcia,OF,Philadelphia Phillies,120,67,217,75,38,1,144,10,235.67
Spencer Horwitz,1B,Pittsburgh Pirates,106,53,159,52,49,1,86,2,364.33
Bryce Eldridge,1B,San Francisco Giants,87,47,159,54,34,4,121,2,343.5
Rob Refsnyder,OF,Seattle Mariners,49,28,81,26,24,1,61,3,731.0
Will Benson,OF,Cincinnati Reds,44,29,82,26,22,1,69,7,820.0
Tyler Heineman,C,Toronto Blue Jays,27,14,40,11,10,0,31,2,711.0
Austin Hays,OF,Chicago White Sox,99,48,161,50,29,1,107,3,367.75
Christian Moore,2B,Los Angeles Angels,84,45,138,41,36,1,137,7,421.5
Jonny DeLuca,OF,Tampa Bay Rays,59,31,93,27,17,1,57,9,759.5
Matt Vierling,OF,Detroit Tigers,54,28,85,26,19,0,53,3,836.5
Mickey Moniak,OF,Colorado Rockies,113,62,205,67,28,1,119,10,281.2
Daniel Schneemann,2B,Cleveland Guardians,38,22,64,19,18,0,52,4,836.5
Jonah Heim,C,Atlanta Braves,27,13,44,14,9,0,27,1,794.0
Noelvi Marte,3B,Cincinnati Reds,119,62,198,59,31,1,119,14,150.67
Gavin Sheets,OF,San Diego Padres,102,52,165,54,39,1,93,2,379.75
Rhys Hoskins,1B,Cleveland Guardians,71,42,130,46,42,1,99,2,654.5
Coby Mayo,1B,Baltimore Orioles,32,18,58,18,13,0,45,1,406.0
Travis Bazzana,2B,Cleveland Guardians,41,22,66,20,21,0,60,3,586.67
Liam Hicks,C,Miami Marlins,67,30,91,27,31,0,50,1,717.0
Keibert Ruiz,C,Washington Nationals,71,27,103,35,17,0,38,1,428.5
Brady House,3B,Washington Nationals,110,46,167,52,22,1,139,5,578.67
Spencer Steer,1B,Cincinnati Reds,85,48,145,44,39,0,89,8,266.83
TJ Friedl,OF,Cincinnati Reds,114,64,173,48,57,0,95,11,263.17
Josh Lowe,OF,Los Angeles Angels,97,56,159,43,37,2,127,21,286.5
Nick Castellanos,OF,San Diego Padres,78,38,128,39,20,0,77,3,320.17
Javier Baez,SS,Detroit Tigers,72,34,114,36,13,0,82,5,345.8
Ezequiel Duran,SS,Texas Rangers,61,31,93,25,14,0,70,8,813.5
Ryan Waldschmidt,OF,Arizona Diamondbacks,39,21,62,18,15,1,38,4,655.5
Walker Jenkins,OF,Minnesota Twins,24,12,37,11,9,0,23,2,586.33
Zack Gelof,2B,Athletics,32,20,54,16,12,0,54,6,792.5
Nathan Lukes,OF,Toronto Blue Jays,72,34,100,29,23,1,50,3,808.0
Andrew McCutchen,DH,Texas Rangers,51,29,86,30,28,0,59,1,638.5
Jake Mangum,OF,Pittsburgh Pirates,78,35,99,24,13,0,53,12,359.67
Max Muncy,3B,Athletics,70,37,116,34,20,1,100,4,685.5
Nolan Gorman,2B,St. Louis Cardinals,91,52,168,60,47,2,163,4,370.33
Enrique Hernandez,2B,Los Angeles Dodgers,42,23,72,25,14,0,45,1,670.5
Sung-Mun Song,2B,San Diego Padres,54,27,84,26,18,1,54,5,745.0
Jeremiah Jackson,3B,Baltimore Orioles,52,26,81,25,12,0,57,4,836.0
Paul Goldschmidt,1B,New York Yankees,80,41,132,42,26,1,83,4,461.0
Dominic Canzone,OF,Seattle Mariners,87,43,148,51,29,2,95,3,354.75
Justyn-Henry Malloy,OF,Tampa Bay Rays,41,22,63,22,22,0,53,1,563.5
Matt Shaw,3B,Chicago Cubs,64,35,102,28,23,0,61,10,320.5
